chrom	start	gene	strand	LIC-dRNA-nonpolyA	LIC-dRNA-cDNA-polyA	LIC-dRNA-polyA	Q29-dRNA-nonpolyA-R1	Q29-dRNA-nonpolyA-R2	clusters
NC_005823.1	36	LIC_RS00005	+	NA	NA	NA	472;64	NA	1
NC_005823.1	38	LIC_RS00005	+	472;5	NA	NA	NA	471;9	1
NC_005823.1	823	unaware	+	1426;2	NA	NA	NA	NA	2
NC_005823.1	1809	unaware	+	NA	NA	NA	2133;5	NA	3
NC_005823.1	1813	unaware	+	NA	NA	NA	NA	2129;2	3
NC_005823.1	2591	unaware	+	NA	NA	NA	3276;4	NA	4
NC_005823.1	3194	LIC_RS00010	+	NA	NA	NA	NA	4091;3	5
NC_005823.1	3255	LIC_RS00010	+	4678;6	NA	NA	NA	4163;6	6
NC_005823.1	3257	LIC_RS00010	+	NA	NA	NA	3494;22	NA	6
NC_005823.1	5003	LIC_RS00015	+	NA	NA	NA	5609;22	NA	7
NC_005823.1	5005	LIC_RS00015	+	NA	NA	NA	NA	5438;4	7
NC_005823.1	5844	LIC_RS00020	+	NA	NA	NA	NA	6645;3	8
NC_005823.1	5970	LIC_RS00020	+	NA	NA	NA	NA	6704;3	9
NC_005823.1	6684	LIC_RS00025	+	NA	NA	NA	6950;94	6852;34	10
NC_005823.1	6686	LIC_RS00025	+	7821;10	NA	NA	NA	NA	10
NC_005823.1	8890	unaware	+	9452;3	NA	NA	NA	NA	11
NC_005823.1	11038	LIC_RS00035	+	NA	NA	NA	11177;26	NA	12
NC_005823.1	12709	LIC_RS00045	+	13637;6	NA	NA	13346;36	13860;7	13
NC_005823.1	15833	LIC_RS00060	+	NA	NA	NA	NA	16732;2	14
NC_005823.1	15896	LIC_RS00060	+	NA	NA	NA	16228;9	16675;2	15
NC_005823.1	18177	unaware	+	NA	NA	NA	NA	18661;4	16
NC_005823.1	19506	unaware	+	NA	NA	NA	19882;5	NA	17
NC_005823.1	19544	unaware	+	NA	NA	NA	NA	19777;2	18
NC_005823.1	19612	unaware	+	19900;6	NA	NA	NA	NA	19
NC_005823.1	19612	LIC_RS00075	+	NA	NA	NA	20002;1	NA	19
NC_005823.1	19954	LIC_RS00075	+	NA	NA	NA	20150;1	NA	20
NC_005823.1	19994	unaware	+	20237;3	NA	NA	NA	20151;9	21
NC_005823.1	19996	unaware	+	NA	NA	NA	20151;27	NA	21
NC_005823.1	20445	unaware	+	NA	NA	NA	20758;5	NA	22
NC_005823.1	20568	LIC_RS00085	+	NA	NA	NA	21430;1	NA	23
NC_005823.1	20673	LIC_RS00085	+	NA	NA	NA	21099;1	NA	24
NC_005823.1	20762	LIC_RS00085	+	20986;1	NA	NA	NA	NA	25
NC_005823.1	20784	LIC_RS00085	+	20997;1	NA	NA	NA	NA	26
NC_005823.1	20802	LIC_RS00085	+	NA	NA	NA	21261;1	NA	27
NC_005823.1	20820	unaware	+	21479;5	NA	NA	NA	NA	28
NC_005823.1	20822	unaware	+	NA	NA	NA	21650;85	21650;25	28
NC_005823.1	21382	LIC_RS00090	+	NA	NA	NA	NA	22309;2	29
NC_005823.1	21761	LIC_RS00090	+	22217;1	NA	NA	NA	NA	30
NC_005823.1	21767	LIC_RS00090	+	NA	NA	NA	NA	22212;2	30
NC_005823.1	21768	LIC_RS00090	+	NA	NA	NA	22213;13	NA	30
NC_005823.1	21773	LIC_RS00090	+	22214;1	NA	NA	NA	NA	30
NC_005823.1	22235	LIC_RS00095	+	NA	NA	NA	23471;24	23077;6	31
NC_005823.1	22414	LIC_RS00100	+	23500;2	NA	NA	NA	NA	32
NC_005823.1	22618	LIC_RS00100	+	23267;1	NA	NA	NA	NA	33
NC_005823.1	22915	LIC_RS00100	+	NA	NA	NA	NA	24112;6	34
NC_005823.1	23580	LIC_RS00105	+	NA	NA	NA	NA	24278;1	35
NC_005823.1	23583	unaware	+	24052;3	NA	NA	NA	NA	35
NC_005823.1	23813	LIC_RS00105	+	NA	NA	NA	NA	24381;2	36
NC_005823.1	24320	unaware	+	NA	NA	NA	24799;2	NA	37
NC_005823.1	28181	LIC_RS00120	+	NA	NA	NA	28357;119	NA	38
NC_005823.1	28182	LIC_RS00120	+	28850;9	NA	NA	NA	28471;25	38
NC_005823.1	28901	LIC_RS00125	+	29281;2	NA	NA	NA	NA	39
NC_005823.1	29129	LIC_RS00125	+	NA	NA	NA	NA	29489;5	40
NC_005823.1	29136	LIC_RS00125	+	NA	NA	NA	29458;8	NA	40
NC_005823.1	29263	LIC_RS00125	+	29405;1	NA	NA	NA	NA	41
NC_005823.1	30206	unaware	+	NA	NA	NA	30619;2	NA	42
NC_005823.1	30820	unaware	+	NA	NA	NA	NA	31516;4	43
NC_005823.1	30821	unaware	+	NA	NA	NA	31012;21	NA	43
NC_005823.1	32195	LIC_RS00130	+	NA	NA	NA	32854;3	NA	44
NC_005823.1	32317	LIC_RS00135	+	NA	NA	NA	33477;4	NA	45
NC_005823.1	32472	LIC_RS00135	+	32787;2	NA	NA	NA	NA	46
NC_005823.1	34081	LIC_RS00140	+	NA	34343;1	NA	NA	NA	47
NC_005823.1	34140	LIC_RS00140	+	NA	34949;2	NA	34577;133	35004;19	48
NC_005823.1	34142	LIC_RS00140	+	34867;6	NA	NA	NA	NA	48
NC_005823.1	34158	LIC_RS00145	+	34930;1	NA	NA	NA	NA	49
NC_005823.1	34645	LIC_RS00145	+	34934;1	NA	NA	NA	NA	50
NC_005823.1	34773	LIC_RS00145	+	35396;1	NA	NA	NA	NA	51
NC_005823.1	38614	unaware	+	NA	NA	NA	39061;2	NA	52
NC_005823.1	39754	LIC_RS00165	+	NA	NA	NA	NA	40381;3	53
NC_005823.1	39755	LIC_RS00165	+	40392;2	NA	NA	40392;23	NA	53
NC_005823.1	40242	LIC_RS00170	+	40831;1	NA	NA	NA	NA	54
