chrom	start	end	gene	cov	strand	numSamples	clusters
NC_005823.1	5	460	unaware	3	+	2	0
NC_005823.1	36	410	LIC_RS00005	53	+	5	1
NC_005823.1	823	1426	unaware	2	+	1	2
NC_005823.1	1809	2131	unaware	5	+	2	3
NC_005823.1	2591	3276	unaware	4	+	1	4
NC_005823.1	2824	3141	unaware	8	+	1	5
NC_005823.1	3194	4264	LIC_RS00010	7	+	2	6
NC_005823.1	3257	4178	LIC_RS00010	21	+	5	7
NC_005823.1	5003	5478	LIC_RS00015	14	+	3	8
NC_005823.1	5844	6645	LIC_RS00020	3	+	1	9
NC_005823.1	5970	6704	LIC_RS00020	3	+	1	10
NC_005823.1	6684	7085	LIC_RS00025	69	+	5	11
NC_005823.1	8890	9452	unaware	3	+	1	12
NC_005823.1	11038	11177	LIC_RS00035	26	+	1	13
NC_005823.1	12709	13667	LIC_RS00045	16	+	5	14
NC_005823.1	15825	16486	unaware:LIC_RS00060	3	+	2	15
NC_005823.1	15896	16610	LIC_RS00060	10	+	4	16
NC_005823.1	16815	17815	unaware	5	+	1	17
NC_005823.1	18177	18661	unaware	4	+	1	18
NC_005823.1	19506	19882	unaware	5	+	1	19
NC_005823.1	19544	19777	unaware	2	+	1	20
NC_005823.1	19612	19951	unaware:LIC_RS00075	6	+	2	21
NC_005823.1	19954	20150	LIC_RS00075	1	+	1	22
NC_005823.1	19996	20226	unaware	19	+	5	23
NC_005823.1	20445	20817	unaware	4	+	2	24
NC_005823.1	20568	21152	LIC_RS00085	1	+	3	25
NC_005823.1	20673	21099	LIC_RS00085	1	+	1	26
NC_005823.1	20762	20986	LIC_RS00085	1	+	1	27
NC_005823.1	20822	21547	LIC_RS00085:unaware:unaware	53	+	8	28
NC_005823.1	21382	22309	LIC_RS00090	2	+	1	29
NC_005823.1	21768	22429	LIC_RS00090	10	+	6	30
NC_005823.1	22235	22952	LIC_RS00095	16	+	4	31
NC_005823.1	22414	23500	LIC_RS00100	2	+	1	32
NC_005823.1	22618	23267	LIC_RS00100	1	+	1	33
NC_005823.1	22915	24112	LIC_RS00100	6	+	1	34
NC_005823.1	23583	24165	LIC_RS00105:unaware	3	+	2	35
NC_005823.1	23813	24381	LIC_RS00105	2	+	1	36
NC_005823.1	23867	24364	LIC_RS00105	3	+	1	37
NC_005823.1	24340	25098	unaware	5	+	2	38
NC_005823.1	27247	27701	unaware	2	+	1	39
NC_005823.1	27674	28412	unaware	2	+	1	40
NC_005823.1	28181	28631	LIC_RS00120	119	+	5	41
NC_005823.1	28901	29281	LIC_RS00125	2	+	1	42
NC_005823.1	29136	29562	LIC_RS00125	8	+	3	43
NC_005823.1	29263	29405	LIC_RS00125	1	+	1	44
NC_005823.1	30206	30619	unaware	2	+	1	45
NC_005823.1	30821	31397	unaware	21	+	3	46
NC_005823.1	31899	32247	LIC_RS00130	1	+	1	47
NC_005823.1	31972	33025	LIC_RS00130	1	+	1	48
NC_005823.1	32066	33042	LIC_RS00130	2	+	1	49
NC_005823.1	32195	32842	LIC_RS00130	3	+	2	50
NC_005823.1	32317	33477	LIC_RS00135	4	+	1	51
NC_005823.1	32472	32787	LIC_RS00135	2	+	1	52
NC_005823.1	34081	34343	LIC_RS00140	1	+	1	53
NC_005823.1	34140	35047	LIC_RS00140:LIC_RS00145	47	+	7	54
NC_005823.1	34645	34934	LIC_RS00145	1	+	1	55
NC_005823.1	34773	35396	LIC_RS00145	1	+	1	56
NC_005823.1	36813	37317	unaware	2	+	1	57
NC_005823.1	38616	38944	unaware	4	+	2	58
NC_005823.1	39112	39741	unaware	2	+	1	59
NC_005823.1	39755	40489	LIC_RS00165	13	+	5	60
NC_005823.1	40242	40831	LIC_RS00170	1	+	1	61
NC_005823.1	40391	41197	LIC_RS00170	2	+	1	62
NC_005823.1	40950	42046	LIC_RS00175	6	+	2	63
NC_005823.1	41760	41952	LIC_RS00180	1	+	1	64
NC_005823.1	41929	42227	unaware	15	+	1	65
NC_005823.1	44221	45115	LIC_RS00185	2	+	2	66
NC_005823.1	46569	46890	LIC_RS00195	2	+	1	67
NC_005823.1	46625	47192	unaware	22	+	4	68
NC_005823.1	50870	51660	unaware	2	+	1	69
NC_005823.1	50939	51999	unaware:LIC_RS00220	4	+	3	70
NC_005823.1	51910	52472	LIC_RS00220	1	+	1	71
NC_005823.1	51983	52772	LIC_RS00220	1	+	1	72
NC_005823.1	52027	52610	LIC_RS00220	7	+	3	73
NC_005823.1	52080	52889	unaware	23	+	5	74
NC_005823.1	53404	54463	LIC_RS00225	1	+	1	75
NC_005823.1	53470	53848	unaware	2	+	1	76
NC_005823.1	54075	54608	LIC_RS00225	1	+	2	77
NC_005823.1	54109	54287	unaware	7	+	1	78
NC_005823.1	54243	54761	LIC_RS00225	5	+	2	79
NC_005823.1	54384	54707	unaware	18	+	4	80
NC_005823.1	55045	55526	LIC_RS00230	69	+	5	81
NC_005823.1	56223	57100	LIC_RS00235	37	+	5	82
NC_005823.1	56455	57289	unaware	8	+	1	83
NC_005823.1	62142	62775	unaware:LIC_RS00260	6	+	3	84
NC_005823.1	62556	63344	LIC_RS00260	4	+	4	85
NC_005823.1	63414	64503	unaware	4	+	1	86
NC_005823.1	63776	63922	unaware	2	+	1	87
NC_005823.1	64299	64536	unaware	2	+	1	88
NC_005823.1	65329	65876	unaware	2	+	1	89
NC_005823.1	66481	67203	LIC_RS00275	193	+	6	90
NC_005823.1	67860	68083	unaware	3	+	1	91
NC_005823.1	68218	68427	unaware	3	+	1	92
NC_005823.1	68715	69390	LIC_RS00285:unaware:LIC_RS00285	7	+	4	93
NC_005823.1	68841	69669	LIC_RS00285	1	+	1	94
NC_005823.1	69683	71244	LIC_RS00290	4	+	2	95
NC_005823.1	72363	72489	unaware	2	+	1	96
NC_005823.1	74210	74914	unaware	2	+	1	97
NC_005823.1	74257	74702	unaware	8	+	3	98
NC_005823.1	74346	75199	LIC_RS00305	2	+	1	99
NC_005823.1	74590	75061	unaware:LIC_RS00305	3	+	2	100
NC_005823.1	74626	74943	LIC_RS00305	1	+	1	101
NC_005823.1	74879	75483	LIC_RS00305	4	+	3	102
NC_005823.1	75316	75967	unaware	2	+	1	103
NC_005823.1	75355	76823	unaware	3	+	1	104
NC_005823.1	75444	75896	unaware	12	+	1	105
NC_005823.1	75648	75967	unaware	2	+	1	106
NC_005823.1	76133	76795	unaware	5	+	1	107
