chrom	strand	start	end	numGenes	numOfReads	genesIncluded
NC_005823.1	+	33	1827	1	149	LIC_RS00005
NC_005823.1	+	39	4273060	0	31185	
NC_005823.1	+	3093	4778	1	107	LIC_RS00010
NC_005823.1	+	4685	6132	1	60	LIC_RS00015
NC_005823.1	+	4704	6684	2	37	LIC_RS00015:LIC_RS00020
NC_005823.1	+	5814	7329	3	8	LIC_RS00015:LIC_RS00020:LIC_RS00025
NC_005823.1	+	6170	6684	1	8	LIC_RS00020
NC_005823.1	+	6258	7491	2	29	LIC_RS00020:LIC_RS00025
NC_005823.1	+	6628	8562	1	267	LIC_RS00025
NC_005823.1	+	7516	9902	2	63	LIC_RS00025:LIC_RS00030
NC_005823.1	+	7677	11457	3	1	LIC_RS00025:LIC_RS00030:LIC_RS00035
NC_005823.1	+	8621	11126	1	287	LIC_RS00030
NC_005823.1	+	10102	12127	2	82	LIC_RS00030:LIC_RS00035
NC_005823.1	+	10268	12779	4	1	LIC_RS00030:LIC_RS00035:LIC_RS00040:LIC_RS00045
NC_005823.1	+	10647	12592	3	2	LIC_RS00030:LIC_RS00035:LIC_RS00040
NC_005823.1	+	11137	12269	1	51	LIC_RS00035
NC_005823.1	+	11308	12689	2	19	LIC_RS00035:LIC_RS00040
NC_005823.1	+	12158	12539	1	3	LIC_RS00040
NC_005823.1	+	12178	13516	2	1	LIC_RS00040:LIC_RS00045
NC_005823.1	+	12494	15189	1	78	LIC_RS00045
NC_005823.1	+	15741	17411	1	41	LIC_RS00060
NC_005823.1	+	16798	18646	2	17	LIC_RS00060:LIC_RS00065
NC_005823.1	+	17480	19130	1	39	LIC_RS00065
NC_005823.1	+	19612	20464	1	33	LIC_RS00075
NC_005823.1	+	20568	21838	1	148	LIC_RS00085
NC_005823.1	+	20820	23568	4	3	LIC_RS00085:LIC_RS00090:LIC_RS00095:LIC_RS00100
NC_005823.1	+	20821	22274	2	18	LIC_RS00085:LIC_RS00090
NC_005823.1	+	21248	22866	3	4	LIC_RS00085:LIC_RS00090:LIC_RS00095
NC_005823.1	+	21740	22334	1	44	LIC_RS00090
NC_005823.1	+	21768	23745	3	18	LIC_RS00090:LIC_RS00095:LIC_RS00100
NC_005823.1	+	21775	23064	2	38	LIC_RS00090:LIC_RS00095
NC_005823.1	+	22375	23036	1	22	LIC_RS00095
NC_005823.1	+	22377	23791	2	36	LIC_RS00095:LIC_RS00100
NC_005823.1	+	23126	24204	1	32	LIC_RS00100
NC_005823.1	+	23427	24302	2	2	LIC_RS00100:LIC_RS00105
NC_005823.1	+	23808	26329	1	34	LIC_RS00105
